Reporter,Number
Afghanistan,1
Albania,2
Algeria,3
American Samoa,4
Andorra,5
Angola,6
Anguila,7
Antarctica,8
Antigua and Barbuda,9
Argentina,10
Armenia,11
Aruba,12
Australia,13
Austria,14
Azerbaijan,15
"Bahamas, The",16
Bahrain,17
Bangladesh,18
Barbados,19
Belarus,20
Belgium,21
Belgium-Luxembourg,22
Belize,23
Benin,24
Bermuda,25
Bhutan,26
Bolivia,27
Bosnia and Herzegovina,28
Botswana,29
Bouvet Island,30
Brazil,31
British Virgin Islands,32
Brunei,33
Bulgaria,34
Bunkers,35
Burkina Faso,36
Burundi,37
Cambodia,38
Cameroon,39
Canada,40
Cape Verde,41
Cayman Islands,42
Central African Republic,43
Chad,44
Chile,45
China,46
Colombia,47
Comoros,48
"Congo, Dem. Rep.",49
"Congo, Rep.",50
Cook Islands,51
Costa Rica,52
Cote d'Ivoire,53
Croatia,54
Cuba,55
Cyprus,56
Czech Republic,57
Czechoslovakia,58
Denmark,59
Djibouti,60
Dominica,61
Dominican Republic,62
East Timor,63
Ecuador,64
"Egypt, Arab Rep.",65
El Salvador,66
Equatorial Guinea,67
Eritrea,68
Estonia,69
Eswatini,70
Ethiopia(excludes Eritrea),71
European Union,72
Faeroe Islands,73
Fiji,74
Finland,75
Fm Sudan,76
France,77
French Guiana,78
French Polynesia,79
Gabon,80
"Gambia, The",81
Georgia,82
German Democratic Republic,83
Germany,84
Ghana,85
Greece,86
Greenland,87
Grenada,88
Guadeloupe,89
Guam,90
Guatemala,91
Guinea,92
Guinea-Bissau,93
Guyana,94
Haiti,95
Heard Island and McDonald Isla,96
Honduras,97
"Hong Kong, China",98
Hungary,99
Iceland,100
India,101
Indonesia,102
"Iran, Islamic Rep.",103
Iraq,104
Ireland,105
Israel,106
Italy,107
Jamaica,108
Japan,109
Jordan,110
Kazakhstan,111
Kenya,112
Kiribati,113
"Korea, Dem. Rep.",114
"Korea, Rep.",115
Kuwait,116
Kyrgyz Republic,117
Latvia,118
Lebanon,119
Lesotho,120
Liberia,121
Libya,122
Lithuania,123
Luxembourg,124
Macao,125
Madagascar,126
Malawi,127
Malaysia,128
Maldives,129
Mali,130
Malta,131
Marshall Islands,132
Martinique,133
Mauritania,134
Mauritius,135
Mayotte,136
Mexico,137
"Micronesia, Fed. Sts.",138
Moldova,139
Monaco,140
Mongolia,141
Montenegro,142
Montserrat,143
Morocco,144
Mozambique,145
Myanmar,146
Namibia,147
Nepal,148
Netherlands,149
Netherlands Antilles,150
New Caledonia,151
New Zealand,152
Nicaragua,153
Niger,154
Nigeria,155
North Macedonia,156
Northern Mariana Islands,157
Norway,158
Oman,159
Pakistan,160
Palau,161
Panama,162
Papua New Guinea,163
Paraguay,164
Peru,165
Philippines,166
Pitcairn,167
Poland,168
Portugal,169
Qatar,170
Reunion,171
Romania,172
Russian Federation,173
Rwanda,174
Saint Helena,175
Saint Maarten (Dutch part),176
Samoa,177
San Marino,178
Sao Tome and Principe,179
Saudi Arabia,180
Senegal,181
"Serbia, FR(Serbia/Montenegro)",182
Seychelles,183
Sierra Leone,184
Singapore,185
Slovak Republic,186
Slovenia,187
Solomon Islands,188
Somalia,189
South Africa,190
South Sudan,191
Soviet Union,192
Spain,193
Sri Lanka,194
St. Kitts and Nevis,195
St. Lucia,196
St. Vincent and the Grenadines,197
Sudan,198
Suriname,199
Sweden,200
Switzerland,201
Syrian Arab Republic,202
Tanzania,203
Thailand,204
Togo,205
Tokelau,206
Tonga,207
Trinidad and Tobago,208
Tunisia,209
Turkey,210
Turkmenistan,211
Turks and Caicos Isl.,212
Tuvalu,213
Uganda,214
Ukraine,215
United Arab Emirates,216
United Kingdom,217
United States,218
Uruguay,219
Uzbekistan,220
Vanuatu,221
Venezuela,222
Vietnam,223
Wallis and Futura Isl.,224
Yemen,225
Zambia,226
Zimbabwe,227
